호선,상/하행선,요일,전철역코드,외부코드,전철역명,첫차시간,첫차출발역코드,첫차도착역코드,첫차출발역명,첫차도착역명,막차시간,막차출발역코드,막차도착역코드,막차출발역명,막차도착역명
05호선,1,1,2561,P555,마천,53100,2561,2511,마천,방화,240000,2554,2549,상일동,강동
05호선,1,1,2560,P554,거여,53300,2561,2511,마천,방화,234600,2561,2545,마천,군자
05호선,1,1,2559,P553,개롱,53450,2561,2511,마천,방화,234750,2561,2545,마천,군자
05호선,1,1,2558,P552,오금,53630,2561,2511,마천,방화,234930,2561,2545,마천,군자
05호선,1,1,2557,P551,방이,53820,2561,2511,마천,방화,235120,2561,2545,마천,군자
05호선,1,1,2556,P550,올림픽공원,54010,2561,2511,마천,방화,235310,2561,2545,마천,군자
05호선,1,1,2555,P549,둔촌동,54220,2561,2511,마천,방화,235520,2561,2545,마천,군자
01호선,1,1,1408,P177,신창,50000,1408,1019,신창,광운대,231000,1408,1716,신창,병점
01호선,1,1,1407,P176,온양온천,50500,1408,1019,신창,광운대,231500,1408,1716,신창,병점
01호선,1,1,1405,P174,배방,51300,1408,1019,신창,광운대,232300,1408,1716,신창,병점
01호선,1,1,1404,P173,탕정,50930,1408,1019,신창,광운대,231930,1408,1716,신창,병점
01호선,1,1,1403,P172,아산,51600,1408,1019,신창,광운대,232600,1408,1716,신창,병점
01호선,1,1,1402,P171,쌍용,51830,1408,1019,신창,광운대,232830,1408,1716,신창,병점
01호선,1,1,1401,P170,봉명,52100,1408,1019,신창,광운대,233100,1408,1716,신창,병점
01호선,1,1,1728,P169,천안,50100,1728,158,천안,청량리,233330,1408,1716,신창,병점
01호선,1,1,1727,P168,두정,50530,1728,158,천안,청량리,233800,1408,1716,신창,병점
01호선,1,1,1726,P167,직산,51030,1728,158,천안,청량리,234300,1408,1716,신창,병점
01호선,1,1,1725,P166,성환,51500,1728,158,천안,청량리,234730,1408,1716,신창,병점
01호선,1,1,1724,P165,평택,52200,1728,158,천안,청량리,235430,1408,1716,신창,병점
01호선,1,1,1723,P164,평택지제,52630,1728,158,천안,청량리,235900,1408,1716,신창,병점
01호선,1,1,1722,P163,서정리,53100,1728,158,천안,청량리,240330,1408,1716,신창,병점
01호선,1,1,1721,P162,송탄,53400,1728,158,천안,청량리,240630,1408,1716,신창,병점
01호선,1,1,1720,P161,진위,53730,1728,158,천안,청량리,241000,1408,1716,신창,병점
01호선,1,1,1719,P160,오산,54100,1728,158,천안,청량리,241330,1408,1716,신창,병점
