,전철역명,호선,외부코드
321,충무로,03호선,331
423,충무로,04호선,423
1914,보산,01호선,102
1913,동두천중앙,01호선,103
1912,지행,01호선,104
1911,덕정,01호선,105
1910,덕계,01호선,106
1909,양주,01호선,107
1908,녹양,01호선,108
1907,가능,01호선,109
1906,의정부,01호선,110
1905,회룡,01호선,111
1904,망월사,01호선,112
1903,도봉산,01호선,113
1902,도봉,01호선,114
1901,방학,01호선,115
1022,창동,01호선,116
1021,녹천,01호선,117
1020,월계,01호선,118
1019,광운대,01호선,119
1018,석계,01호선,120
1017,신이문,01호선,121
1016,외대앞,01호선,122
1015,회기,01호선,123
158,청량리,01호선,124
157,제기동,01호선,125
156,신설동,01호선,126
159,동묘앞,01호선,127
155,동대문,01호선,128
154,종로5가,01호선,129
153,종로3가,01호선,130
152,종각,01호선,131
151,시청,01호선,132
150,서울역,01호선,133
1002,남영,01호선,134
1003,용산,01호선,135
1004,노량진,01호선,136
1005,대방,01호선,137
1032,신길,01호선,138
1006,영등포,01호선,139
1007,신도림,01호선,140
1701,구로,01호선,141
1813,구일,01호선,142
1801,개봉,01호선,143
1802,오류동,01호선,144
1821,온수,01호선,145
1803,역곡,01호선,146
1814,소사,01호선,147
1804,부천,01호선,148
1822,중동,01호선,149
1805,송내,01호선,150
1815,부개,01호선,151
1806,부평,01호선,152
1807,백운,01호선,153
1808,동암,01호선,154
1816,간석,01호선,155
1809,주안,01호선,156
1823,도화,01호선,157
1810,제물포,01호선,158
1817,도원,01호선,159
1811,동인천,01호선,160
1812,인천,01호선,161
201,시청,02호선,201
202,을지로입구,02호선,202
203,을지로3가,02호선,203
204,을지로4가,02호선,204
205,동대문역사문화공원,02호선,205
206,신당,02호선,206
207,상왕십리,02호선,207
208,왕십리,02호선,208
209,한양대,02호선,209
210,뚝섬,02호선,210
211,성수,02호선,211
212,건대입구,02호선,212
213,구의,02호선,213
214,강변,02호선,214
215,잠실나루,02호선,215
216,잠실,02호선,216
217,잠실새내,02호선,217
218,종합운동장,02호선,218
219,삼성,02호선,219
220,선릉,02호선,220
221,역삼,02호선,221
222,강남,02호선,222
223,교대,02호선,223
224,서초,02호선,224
225,방배,02호선,225
226,사당,02호선,226
227,낙성대,02호선,227
228,서울대입구,02호선,228
229,봉천,02호선,229
230,신림,02호선,230
231,신대방,02호선,231
232,구로디지털단지,02호선,232
233,대림,02호선,233
234,신도림,02호선,234
235,문래,02호선,235
236,영등포구청,02호선,236
237,당산,02호선,237
238,합정,02호선,238
239,홍대입구,02호선,239
240,신촌,02호선,240
241,이대,02호선,241
242,아현,02호선,242
243,충정로,02호선,243
1958,대화,03호선,309
1957,주엽,03호선,310
1956,정발산,03호선,311
1955,마두,03호선,312
1954,백석,03호선,313
1953,대곡,03호선,314
1952,화정,03호선,315
1951,원당,03호선,316
1948,원흥,03호선,317
