호선,환승역명,환승노선,환승거리(m),환승소요시간,소요시간(초)
1,서울역,4호선,159,2분13초,133
1,시청,2호선,101,1분24초,84
1,종로3가,3호선,118,1분38초,98
1,종로3가,5호선,312,4분20초,260
1,동대문,4호선,194,2분42초,162
1,동묘앞,6호선,96,1분20초,80
1,신설동,2호선,159,2분13초,133
1,신도림,2호선,81,1분8초,68
2,시청,1호선,101,1분24초,84
2,을지로3가,3호선,149,2분4초,124
2,을지로4가,5호선,77,1분4초,64
2,동대문역사문화공원,4호선,45,0분38초,38
2,동대문역사문화공원,5호선,234,3분15초,195
2,신당,6호선,242,3분22초,202
2,왕십리,5호선,86,1분12초,72
2,건대입구,7호선,77,1분4초,64
2,잠실,8호선,190,2분38초,158
2,종합운동장,9호선,94,1분18초,78
2,교대,3호선,75,1분3초,63
2,사당,4호선,74,1분2초,62
2,대림,7호선,276,3분50초,230
2,신도림,1호선,81,1분8초,68
2,영등포구청,5호선,110,1분32초,92
2,당산,9호선,105,1분28초,88
2,합정,6호선,82,1분8초,68
2,충정로,5호선,212,2분57초,177
2,신설동,1호선,159,2분13초,133
3,종로3가,1호선,118,1분38초,98
3,종로3가,5호선,117,1분38초,98
3,을지로3가,2호선,149,2분4초,124
3,교대,2호선,75,1분3초,63
3,연신내,6호선,181,2분31초,151
3,불광,6호선,100,1분23초,83
3,충무로,4호선,17,0분14초,14
3,약수,6호선,130,1분48초,108
3,고속터미널,7호선,169,2분21초,141
3,고속터미널,9호선,155,2분9초,129
3,가락시장,8호선,35,0분29초,29
3,오금,5호선,65,0분54초,54
4,서울역,1호선,159,2분13초,133
4,동대문,1호선,194,2분42초,162
4,동대문역사문화공원,2호선,45,0분38초,38
4,동대문역사문화공원,5호선,107,1분29초,89
4,사당,2호선,74,1분2초,62
4,충무로,3호선,17,0분14초,14
4,노원,7호선,278,3분52초,232
4,창동,1호선,84,1분10초,70
4,삼각지,6호선,155,2분9초,129
4,동작,9호선,245,3분24초,204
4,총신대입구,7호선,171,2분23초,143
5,김포공항,9호선,106,1분28초,88
5,까치산,2호선,17,0분14초,14
5,영등포구청,2호선,110,1분32초,92
5,신길,1호선,242,3분22초,202
5,여의도,9호선,68,0분57초,57
5,공덕,6호선,73,1분1초,61
5,충정로,2호선,212,2분57초,177
5,종로3가,1호선,312,4분20초,260
5,종로3가,3호선,117,1분38초,98
5,을지로4가,2호선,77,1분4초,64
5,동대문역사문화공원,2호선,234,3분15초,195
5,동대문역사문화공원,4호선,107,1분29초,89
5,청구,6호선,104,1분27초,87
5,왕십리,2호선,86,1분12초,72
5,군자,7호선,75,1분3초,63
5,천호,8호선,35,0분29초,29
5,강동,5호선,19,0분16초,16
5,올림픽공원,9호선,93,1분18초,78
5,오금,3호선,65,0분54초,54
6,태릉입구,7호선,46,0분38초,38
6,동묘앞,1호선,96,1분20초,80
6,신당,2호선,242,3분22초,202
6,청구,5호선,104,1분27초,87
6,약수,3호선,130,1분48초,108
6,삼각지,4호선,155,2분9초,129
6,공덕,5호선,73,1분1초,61
6,합정,2호선,82,1분8초,68
6,불광,3호선,100,1분23초,83
6,연신내,3호선,181,2분31초,151
7,도봉산,1호선,44,0분37초,37
7,노원,4호선,278,3분52초,232
7,태릉입구,6호선,46,0분38초,38
7,군자,5호선,75,1분3초,63
7,건대입구,2호선,77,1분4초,64
7,고속터미널,3호선,169,2분21초,141
7,고속터미널,9호선,314,4분22초,262
7,이수,4호선,171,2분23초,143
7,대림,2호선,276,3분50초,230
7,가산디지털단지,1호선,110,1분32초,92
7,온수,1호선,102,1분25초,85
8,천호,5호선,35,0분29초,29
8,석촌,9호선,82,1분8초,68
8,잠실,2호선,190,2분38초,158
8,가락시장,3호선,35,0분29초,29
9,종합운동장,2호선,94,1분18초,78
9,석촌,8호선,82,1분8초,68
9,올림픽공원,5호선,93,1분18초,78
